Name,Category,Investment Horizon,NAV,Date,NAV_Category
UTI FTIF SERIES XXVIII - PLAN III (1203 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.8781,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN III (1203 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.8781,"Thu, 15 Apr 2021 00:00:00",Low
Mirae Asset Nifty LargeMidcap 250 Index Fund - Regular Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.87,"Fri, 25 Oct 2024 00:00:00",Low
Mirae Asset Nifty LargeMidcap 250 Index Fund - Regular Plan - IDCW,Other Scheme - Index Funds,Long-Term Schemes,9.87,"Fri, 25 Oct 2024 00:00:00",Low
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW,Other Scheme - Index Funds,Long-Term Schemes,9.87,"Fri, 25 Oct 2024 00:00:00",Low
Mirae Asset Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.87,"Fri, 25 Oct 2024 00:00:00",Low
SBI Automotive Opportunities Fund - Regular Plan - Income Distribution Cum Capital Withdrawal Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.8642,"Fri, 25 Oct 2024 00:00:00",Low
SBI Automotive Opportunities Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.8641,"Fri, 25 Oct 2024 00:00:00",Low
Franklin India Multi Cap Fund - IDCW,Equity Scheme - Multi Cap Fund,Long-Term Schemes,9.8518,"Fri, 25 Oct 2024 00:00:00",Low
Franklin India Multi Cap Fund - Growth,Equity Scheme - Multi Cap Fund,Long-Term Schemes,9.8518,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan BSE Healthcare Index Fund Direct Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.8476,"Fri, 25 Oct 2024 00:00:00",Low
Bank of India Business Cycle Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.84,"Fri, 25 Oct 2024 00:00:00",Low
Bank of India Business Cycle Fund - Direct Plan - Dividend,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.84,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan BSE Healthcare Index Fund Regular Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.8368,"Fri, 25 Oct 2024 00:00:00",Low
Aditya Birla Sun Life Quant Fund - Regular IDCW Payout,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.83,"Thu, 24 Oct 2024 00:00:00",Low
