Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Total_units,Value
01-07-10,Parabolic Drugs,200.0,1.48,1.2,0.4,75.0,76.0,64.8,-13.6,5.70,-92.4,2.6666666666666665,short term
21-05-10,Jaypee Infra,1650.0,1.77,1.15,0.61,102.0,98.0,91.3,-10.49,3.40,-96.67,16.176470588235293,neutral
20-05-10,SJVN,1079.0,9.03,3.39,3.12,26.0,27.1,25.05,-3.65,30.30,16.54,41.5,long term
19-05-10,GB Global,107.9,7.97,10.52,2.81,130.0,131.0,133.65,2.81,9.80,-92.46,0.8300000000000001,short term
18-05-10,Tarapur Trans,63.75,0.03,5.08,2.74,75.0,75.0,56.9,-24.13,4.99,-93.35,0.85,short term
13-05-10,NEL HOLDINGS SO,405.0,2.54,0.22,0.16,54.0,50.0,50.95,-5.65,4.09,-92.43,7.5,long term
10-05-10,Talwalkars Fitn,77.44,35.43,51.48,8.43,128.0,138.0,162.6,27.03,1.45,-98.87,0.605,short term
16-04-10,Goenka Diamond,145.0,0.78,2.99,0.66,135.0,130.0,12.79,-90.53,3.17,-97.65,1.0740740740740742,short term
12-04-10,Intrasoft Tech,53.65,21.97,21.6,13.51,145.0,140.0,159.35,9.9,214.15,47.69,0.37,short term
09-04-10,Shree Ganesh,385.29,1.38,6.13,1.39,260.0,258.85,163.25,-37.21,0.82,-99.68,1.4818846153846155,short term
06-04-10,Persistent,168.01,144.43,107.73,21.69,310.0,400.0,204.0,-34.19,"3,858.30",1144.61,0.5419677419354838,short term
05-04-10,Pradip Overseas,116.6,8.57,45.35,10.53,110.0,120.0,89.29,-18.83,1.14,-98.96,1.06,short term
30-03-10,ILandFS Trans,700.0,52.61,39.39,4.56,258.0,287.0,253.68,-1.67,5.17,-98.0,2.7131782945736433,short term
29-03-10,DQ Entertain,128.38,93.86,272.88,19.45,80.0,135.0,108.55,35.69,1.03,-98.71,1.60475,short term
18-03-10,United Bank,330.0,47.08,39.15,9.8,66.0,77.0,68.8,4.24,4.48,-93.21,5.0,long term
11-03-10,Man Infra,142.0,96.06,104.57,10.26,252.0,335.0,46.43,-81.58,112.05,-55.54,0.5634920634920635,short term
10-03-10,Texmo Pipes,45.0,1.02,30.5,7.26,90.0,92.8,137.25,52.5,78.80,-12.44,0.5,short term
03-03-10,ARSS Infra,103.0,49.34,124.53,18.55,450.0,640.0,736.3,63.62,31.95,-92.9,0.2288888888888889,short term
25-02-10,Hathway Cable,735.4,1.43,4.29,0.28,240.0,246.0,41.56,-82.68,19.60,-91.83,3.0641666666666665,short term
24-02-10,DB Realty,1500.0,1.35,1.21,0.01,468.0,452.1,455.4,-2.69,107.60,-77.01,3.2051282051282053,short term
24-02-10,Emmbi Ind,43.08,0.43,5.55,0.46,45.0,46.0,28.65,-36.33,101.45,125.44,0.9573333333333333,short term
23-02-10,Aqua Logistics,150.0,0.26,5.07,3.0,220.0,225.0,24.46,-88.88,1.40,-99.36,0.6818181818181818,short term
19-02-10,Thangamayil,0.0,0.52,1.52,2.26,75.0,70.0,71.1,-5.2,"1,115.00",1386.67,0.0,short term
15-02-10,Syncom Health,56.25,0.99,16.6,6.25,75.0,88.0,87.85,17.13,4.06,-94.59,0.75,short term
15-02-10,Vascon Engineer,199.8,1.12,3.65,0.62,165.0,155.9,146.38,-11.28,26.50,-83.94,1.210909090909091,short term
08-02-10,Jubilant Food,328.7,59.39,51.95,3.79,145.0,160.0,114.5,-21.03,"2,997.15",1967.0,2.266896551724138,short term
03-02-10,Infinite Comp,189.8,48.44,106.02,11.08,165.0,178.35,184.51,11.82,473.75,187.12,1.1503030303030304,short term
